Time(s),NodeID,Role,RemainingEnergy(J)
45,22,SENSOR,9999.34
45,23,SENSOR,9999.34
45,24,SENSOR,9999.34
45,25,SENSOR,9999.34
45,26,SENSOR,9999.34
45,27,SENSOR,9999.34
45,28,SENSOR,9999.34
45,29,SENSOR,9999.34
45,30,SENSOR,9999.34
45,31,SENSOR,9999.34
45,32,SENSOR,9999.34
45,33,SENSOR,9999.34
45,34,SENSOR,9999.34
45,35,SENSOR,9999.34
45,36,SENSOR,9999.34
45,37,SENSOR,9999.34
45,38,SENSOR,9999.34
45,39,SENSOR,9999.34
45,40,SENSOR,9999.34
45,41,SENSOR,9999.34
45,42,SENSOR,9999.34
45,43,SENSOR,9999.34
45,44,SENSOR,9999.34
45,45,SENSOR,9999.34
45,46,SENSOR,9999.34
45,47,SENSOR,9999.34
45,48,SENSOR,9999.34
45,49,SENSOR,9999.34
45,50,SENSOR,9999.34
45,51,SENSOR,9999.34
45,52,SENSOR,9999.34
45,53,SENSOR,9999.34
45,54,SENSOR,9999.34
45,55,SENSOR,9999.34
45,56,SENSOR,9999.34
45,57,SENSOR,9999.34
45,58,SENSOR,9999.34
45,59,SENSOR,9999.34
